,Words,AROU,VAL,DOM,CNC,IMAG
696,calculus,2.879,4.406,4.226,4.25,4.313
3926,quiescent,4.353,5.2,4.133,2.308,1.737
2350,hedgehog,4.667,5.968,5.533,6.733,6.821
724,cannon,5.5,3.875,5.897,6.433,6.4
79,adventure,7.853,7.971,7.313,2.912,4.743
1194,credit (money),5.441,6.6,5.485,4.667,4.412
848,cheque,4.75,6.03,5.594,6.364,6.273
1128,costume,5.909,5.788,5.849,5.656,5.971
5127,treaty,4.182,6.182,4.576,4.147,3.441
4274,scurvy,3.912,2.059,3.438,5.0,4.118
2662,junk,3.242,2.735,4.743,5.088,5.571
1199,crevice,4.452,4.29,3.933,4.936,5.031
3165,mounted,5.061,5.412,5.094,4.355,4.849
1370,describe,4.177,5.303,5.875,2.853,3.118
4245,scary,5.938,3.125,3.406,2.581,3.909
2550,insecure,3.909,2.333,2.742,2.394,2.969
1871,fever,5.344,2.576,3.242,5.0,4.697
5296,versus,5.125,4.212,5.206,3.121,3.177
2244,groom (bride),5.583,7.0,5.394,6.273,6.677
2342,hearing,4.636,6.485,5.912,4.091,3.706
315,badger,3.849,4.971,5.088,6.667,6.364
3126,mole (spy),4.844,3.258,4.677,4.484,4.516
5504,worry,4.533,2.182,2.909,2.844,3.636
3245,neighbour,4.576,6.061,5.419,5.807,5.71
5380,warm,5.857,7.743,5.429,4.206,4.714
4594,sperm,5.353,5.441,5.765,6.429,5.8
3996,rear (raise),3.849,5.576,4.818,3.344,3.438
4766,strip (street),4.118,4.824,4.849,5.546,4.606
577,bracket,2.938,5.065,4.643,5.594,5.161
1115,corn (maize),3.086,5.629,5.4,6.429,6.086
4722,stone (rock),2.857,4.853,5.629,6.514,6.514
393,beaker,3.182,4.938,4.853,6.394,6.03
764,cast (actors),5.412,5.794,4.629,5.629,5.412
324,ball (dance),5.657,6.647,5.235,5.543,5.686
2306,harm,4.813,1.794,4.118,3.758,3.677
15,abortion,3.914,2.588,5.429,5.364,4.303
2463,icing,5.281,6.097,5.3,6.063,6.133
5093,traffic,4.0,3.0,3.219,5.793,6.103
3745,post (mail),3.824,5.758,4.906,6.147,6.265
1219,cross (an object),3.25,4.576,4.849,5.909,5.794
4562,source,3.686,5.639,5.429,3.629,3.257
4439,sink (go down),3.412,2.824,3.818,4.206,4.8
5327,virus,3.849,2.486,3.686,5.088,4.441
491,bloom,6.156,7.323,5.613,4.152,5.032
1505,dolls,3.882,5.559,5.686,6.286,6.457
2570,insulting,5.242,2.343,4.471,3.125,4.0
84,advise,4.182,6.441,5.813,3.697,2.788
2980,mark (smudge),3.152,4.059,4.939,5.882,6.029
5165,TRUE,5.743,7.914,6.219,2.529,2.719
4471,slave,5.092,1.554,2.27,5.048,5.563
3789,preview,4.088,5.657,5.343,4.057,3.2
351,bar (legal),3.818,4.871,4.656,4.571,3.818
2571,insurance,3.576,5.121,4.879,3.912,3.061
4536,soil,2.606,5.294,5.235,6.5,6.382
5469,wire,3.647,4.758,5.031,6.206,6.0
168,ankle,3.807,5.152,5.0,6.733,6.724
1261,currency,4.853,5.353,3.844,4.469,4.875
865,chipmunk,4.059,6.333,5.242,6.824,6.559
2328,haze,4.147,4.265,3.765,3.471,3.941
4512,snake,4.909,3.657,5.257,6.714,6.657
1480,distressed,4.294,2.647,3.182,2.824,3.618
5163,truce,4.531,6.968,5.063,3.3,3.75
598,brew,4.303,5.294,5.156,5.0,5.088
4407,shotgun,5.412,2.6,4.543,6.743,6.765
811,chance,5.824,6.486,4.242,2.4,2.636
1738,evidence,4.515,6.061,5.188,4.909,3.968
4303,select (choose),4.941,5.971,6.875,3.429,3.324
4337,set (group),3.647,5.212,4.849,4.469,4.853
1595,dust,2.714,3.771,4.686,5.677,5.629
584,brassiere,5.412,5.742,5.121,6.0,6.061
1175,craft,4.735,5.97,5.455,4.457,3.914
1163,covert,4.625,4.455,5.344,2.849,3.294
4684,steal,5.706,2.235,5.97,4.029,4.546
5539,yo-yo,5.059,5.8,5.636,6.455,6.424
401,beat (rhythm),6.6,6.229,5.629,4.472,3.714
3879,pumps (equipment),3.177,5.057,4.886,6.371,5.235
1620,eccentric,6.5,6.125,6.516,2.594,3.633
800,cement,2.882,4.771,5.147,6.657,6.543
4586,speech,5.333,6.063,6.882,4.667,4.303
2224,grease,3.0,3.588,4.794,5.714,6.059
1075,construction,3.909,5.438,5.5,5.242,5.576
2288,handle,3.412,5.303,5.97,5.697,5.265
691,cactus,4.457,4.971,5.457,6.486,6.771
5156,trophy,6.4,7.543,7.114,6.429,6.559
4464,skyscraper,4.571,5.057,5.229,6.5,6.6
3949,railroad,3.969,5.242,5.03,6.484,6.606
333,band (music),6.286,6.546,6.143,5.559,5.971
3907,pyramid,4.129,5.625,5.613,6.625,6.879
994,collect,4.273,5.606,5.485,4.161,3.677
2715,knots (speed),4.25,5.333,5.394,3.788,2.727
132,aloft,4.069,5.267,5.065,3.379,3.138
3082,milk,3.529,5.771,5.091,6.794,6.543
2503,improve,5.429,6.941,6.143,3.0,2.714
80,adverb,2.938,5.094,5.235,3.314,2.529
1436,diplomat,3.742,5.71,5.344,4.75,4.323
3439,pail,2.862,5.179,4.929,6.0,5.533
3961,randy,6.226,4.742,5.233,2.867,3.345
4520,snowman,5.824,6.743,6.206,6.371,6.743
599,brewer,3.906,5.063,5.0,5.118,4.406
2053,fungal,2.971,2.943,3.939,5.353,5.031
5086,trace (small amount),3.636,4.688,4.594,4.0,3.813
3589,phantom,5.294,3.406,4.353,2.636,4.485
4706,sticky,4.618,3.471,4.543,4.971,5.486
1393,detached,3.114,3.375,4.829,3.029,3.343
1242,cry (shout),5.618,3.143,4.857,4.829,4.813
625,brother,4.441,6.636,5.441,6.242,6.559
468,blame,4.343,2.743,3.765,2.543,2.571
2732,lagoon,5.697,6.061,5.323,6.147,6.177
751,carpet,3.529,5.086,5.455,6.147,6.343
2498,impress,6.143,7.147,6.429,3.485,3.394
3994,rear,4.343,4.706,4.714,4.857,4.371
2574,intelligence,6.636,8.0,7.438,3.118,3.059
2057,fur,4.121,5.344,5.515,6.242,6.303
2025,fridge,3.771,5.629,5.677,6.771,6.909
167,animosity,6.484,2.613,4.484,2.219,2.677
1813,fair (weather),4.324,6.324,5.059,3.588,5.088
4213,sandwich,4.719,5.971,5.118,6.686,6.771
2905,lousy,3.5,2.559,3.912,2.471,2.765
5407,web,4.546,5.853,5.088,5.441,6.0
1599,dusty,3.667,3.424,4.438,4.788,5.546
2795,lend,3.906,5.0,4.667,2.788,2.774
3699,point (argument),5.485,4.455,6.5,2.758,3.094
4713,stir (make trouble),5.0,2.457,6.333,3.429,3.4
2594,investment,4.471,6.324,5.969,3.657,3.294
3227,navel,3.242,5.03,4.971,6.059,5.706
3616,pigeon,3.219,4.788,5.636,6.571,6.735
5101,train (vehicle),3.743,5.286,5.091,6.588,6.629
3313,oats,3.094,5.313,4.818,6.438,6.375
1839,farmer,3.161,5.6,5.818,6.382,6.559
2481,imagine,7.059,7.657,6.657,1.914,3.206
2942,magazine (ammunition),4.486,3.735,5.706,6.057,5.286
3395,origin,4.206,5.529,4.971,3.206,2.706
3753,pot (pan),2.429,5.212,5.429,6.514,6.371
2948,magnitude,5.273,5.333,6.281,3.182,2.758
3729,population,4.063,5.794,4.5,4.882,4.212
2941,magazine,5.118,5.382,4.906,6.742,6.484
3209,nail (finger),3.618,5.257,5.257,6.618,6.686
1057,confidence,6.849,7.765,7.5,3.059,3.765
1564,drop,3.606,3.8,4.515,4.294,4.636
296,avenge,6.656,3.758,6.594,2.455,2.588
915,clever,5.765,7.629,6.824,3.286,3.886
3796,primal,6.103,4.625,5.656,2.531,2.688
1654,elk,3.867,5.333,4.897,6.69,6.138
1769,expand,4.906,6.125,5.97,3.576,4.063
763,cast,4.121,4.971,4.8,4.8,4.314
2245,groom (look after),5.0,7.0,5.667,3.667,4.515
4517,snob,4.303,2.853,5.182,3.313,4.382
5135,trend,5.091,5.548,3.909,2.853,3.212
2622,jam (traffic),4.286,3.057,3.0,6.0,6.571
135,aloud,5.457,5.314,5.857,3.8,3.486
5252,utensil,2.941,5.371,5.514,6.265,6.147
5376,ward (child),3.931,5.462,5.033,5.04,4.552
1074,consonant,3.531,5.152,5.333,4.469,4.485
2525,infant,4.333,6.636,4.875,6.0,6.059
2016,freak,5.933,3.03,4.094,3.091,3.484
2029,fright,6.563,2.938,3.25,2.485,3.758
911,cleaner (maid),3.471,4.853,4.853,6.294,6.382
4179,run (race),6.344,6.091,6.515,5.121,5.697
3411,oval,3.059,5.0,4.914,5.343,5.886
1934,flick (movement),6.0,5.0,5.618,4.882,6.029
1966,folly,4.138,4.357,5.0,3.192,2.778
3684,ploy,4.529,3.758,5.061,2.971,2.516
5058,top (shirt),4.324,5.629,6.03,6.471,6.636
5137,trial (courtroom),5.029,3.794,3.212,5.829,6.353
4329,serve,4.571,4.829,3.629,4.171,4.235
3100,minute (time),4.031,5.156,4.5,4.152,4.0
121,algebra,2.323,3.839,3.871,4.394,5.182
1817,fake,3.375,2.094,4.5,3.061,3.406
1351,delight,7.091,8.059,5.824,3.0,4.212
1039,concentrate,4.364,6.294,6.118,2.765,2.912
3050,merchant,3.936,5.4,5.188,5.161,4.875
5186,TV,4.824,5.706,4.559,6.677,6.857
1379,desk,3.129,4.936,4.807,6.714,6.5
2093,gate,3.457,5.029,4.765,6.571,6.543
2615,jacket,4.412,5.343,5.629,6.743,6.829
2416,hooker (prostitute),5.438,2.606,4.485,6.091,6.5
2086,gardens,4.788,6.4,4.943,6.394,6.457
3491,pass (route),3.143,5.235,5.514,4.914,4.382
3795,pride (lions),5.829,6.294,5.273,6.147,6.559
426,belief,5.333,6.697,5.143,2.824,3.143
2067,gadget,5.758,6.455,6.177,5.735,5.714
2402,holy,4.844,5.212,4.559,2.849,3.677
2932,lyrics,6.0,6.133,5.1,4.438,4.438
3320,object (disagree),4.912,3.265,6.206,2.677,3.029
925,cloak,4.182,5.361,5.706,6.5,6.529
501,blueberry,5.0,6.118,5.387,6.758,6.781
2835,lilac,4.379,5.875,4.839,5.133,5.484
1504,dollar,5.706,5.743,5.057,6.514,6.5
712,camper,3.818,5.441,5.429,5.576,6.0
1268,cut,4.219,2.813,4.5,5.969,6.125
3168,move,4.912,5.361,6.371,4.441,5.028
240,arson,5.206,2.059,5.088,4.714,4.706
2843,limousine,5.143,6.353,6.03,6.543,6.257
711,camp (tents),3.581,5.807,5.065,6.152,6.406
2302,hard,5.0,3.727,5.563,4.387,4.406
2937,mad (angry),6.571,2.2,5.765,3.647,5.0
2820,life,6.735,7.303,6.235,2.719,3.061
4819,sunny,6.882,8.265,5.706,5.257,6.6
2445,humble,4.2,6.829,5.171,2.412,3.114
2432,hound,4.229,5.029,5.2,6.029,5.886
2339,healthy,5.743,8.088,6.529,3.714,5.0
1476,distinguish,4.594,5.606,6.0,2.879,2.97
4400,shooting,6.029,2.303,5.438,5.818,5.938
1665,emotional,6.364,4.788,4.156,2.515,3.563
1485,diver,4.438,5.125,5.433,6.0,6.0
2304,hard (not soft),5.121,4.294,5.618,5.156,4.257
2441,human,5.633,6.433,5.9,5.567,6.433
3548,penny,3.5,5.871,4.936,6.633,6.758
3781,present (gift),6.636,7.686,5.667,6.118,6.343
2110,genius,7.406,8.03,6.742,3.323,3.375
4121,right (left),3.371,5.375,5.559,4.457,4.412
2995,mass (religious),2.765,4.471,3.343,4.0,4.559
3967,rank (foul),3.75,2.031,4.515,2.97,3.807
4260,score,4.677,5.839,5.355,4.194,3.75
2894,loop,4.2,5.314,4.765,4.576,5.529
208,archer,4.273,4.97,6.088,6.25,6.303
5416,weight,4.257,4.343,4.514,5.229,4.686
812,chandelier,5.031,5.656,5.094,6.667,6.546
4717,stock (inventory),3.294,5.177,5.588,5.147,4.588
248,aspect,3.857,5.531,5.469,2.6,1.943
544,borrow,3.061,4.273,4.03,3.485,2.939
1499,dodgy,4.257,2.788,4.121,3.394,3.313
3425,oyster,4.515,5.412,5.333,6.471,6.324
453,biscuit,4.943,6.343,5.588,6.229,6.657
2943,magazine (publication),4.735,5.677,5.353,6.441,6.294
2867,lizard,4.697,5.029,5.531,6.606,6.765
4862,sweep,3.743,4.829,5.758,5.152,5.515
3409,outsider,4.657,3.4,4.114,4.25,4.576
1223,crossbow,4.5,4.273,5.382,6.257,6.235
1773,expensive,6.059,3.457,4.706,3.647,4.086
4860,sweatshirt,3.485,5.656,5.242,6.563,6.424
4938,temple,4.529,5.706,4.735,5.794,6.088
787,cavity,3.059,3.143,4.147,5.788,5.147
3825,project (enterprise),5.114,6.303,6.206,4.121,3.706
102,aggressive,6.455,2.094,5.909,3.03,4.094
2855,list,3.088,5.343,5.03,5.343,5.771
624,broom,3.091,5.03,5.121,6.25,6.455
5259,vagina,7.152,5.97,6.188,6.467,6.313
2705,kiwi (New Zealander),5.063,5.742,5.0,5.161,5.1
5505,worse,3.97,2.364,3.364,2.515,2.735
107,agreement,5.531,7.714,5.485,3.171,3.727
3357,olive,4.273,5.394,5.485,6.677,6.697
29,accent,5.529,5.629,5.182,3.6,3.618
4247,sceptic,4.364,3.394,5.294,2.647,2.824
4450,skiing,5.758,5.879,5.625,5.697,5.97
1281,daisy,4.394,6.429,4.735,6.6,6.714
1022,competent,5.0,6.719,7.0,3.485,2.875
239,arsehole,4.5,2.147,4.971,4.794,5.677
2091,gasp,6.171,4.029,4.029,4.943,5.114
4428,silly,5.742,5.188,5.233,2.818,3.344
1410,devoted,5.182,7.182,6.177,2.914,3.118
2292,handy,4.697,6.849,5.824,3.353,3.364
4609,sponge,3.314,5.2,5.171,6.029,6.294
2497,impotent,3.724,3.138,3.621,3.536,3.533
1038,concealed,4.531,3.788,3.936,3.125,3.469
4214,sane,4.912,6.657,6.029,2.529,3.2
3438,page (ward),3.04,4.962,4.696,4.917,4.192
2083,garbage,2.853,2.941,4.971,6.242,6.286
4356,shake,5.647,4.677,5.406,4.412,5.97
4254,scientist,5.182,7.03,5.818,5.939,6.182
3957,raisin,2.844,5.424,5.406,6.697,6.636
2897,lord,5.094,4.515,4.333,4.485,4.097
969,cock,6.585,5.046,5.984,6.288,6.302
2778,lecturer,3.657,5.677,4.257,6.314,6.265
199,appointment,3.515,4.97,4.706,4.886,4.0
2117,germinate,3.576,5.656,4.563,4.938,4.094
3431,package,4.452,5.903,5.033,6.063,5.833
1672,employer,3.677,4.677,3.294,6.088,5.088
3828,prolong,3.849,4.121,4.235,2.971,2.5
1897,film,6.061,6.471,5.364,5.849,6.0
530,book,5.156,6.788,6.03,6.793,6.643
4023,refugee,5.258,3.156,2.813,4.813,4.7
3528,peddle,3.412,5.03,5.588,5.088,5.324
776,catch (restraint),4.941,4.061,4.412,4.375,4.303
1615,ease,4.314,6.914,6.143,2.829,3.529
418,begin,4.941,6.257,5.941,3.0,2.5
1158,court (sport),3.788,5.469,5.636,5.686,5.788
3184,mural,3.355,5.906,5.567,5.645,5.033
2209,granny,3.5,7.029,5.059,6.455,6.765
3339,occasion,6.171,6.743,5.441,3.714,4.0
3203,mutilate,5.667,2.111,4.515,4.486,4.818
3288,nude,6.647,5.647,4.941,5.143,6.059
2531,infinite,5.618,6.382,4.647,1.636,1.971
4266,screaming,6.563,2.182,4.156,4.355,5.5
4858,sweat,4.971,4.457,4.735,5.944,5.97
3977,raspberry,5.0,6.485,5.29,6.563,6.758
1295,dare,6.242,4.606,5.594,3.406,3.5
4743,straw,2.875,5.03,4.849,6.333,6.303
4768,stroke,4.629,3.8,4.143,4.914,5.143
3290,nuisance,4.086,2.686,4.294,2.943,3.314
742,card,3.645,5.516,5.25,6.367,6.067
4250,scholar,4.771,6.912,6.059,5.5,5.273
3895,pursued,5.212,4.818,4.75,3.781,3.606
889,circumstances,4.5,4.485,3.424,2.938,2.563
293,autopsy,5.235,3.529,4.206,5.353,5.152
371,basket,3.257,5.177,5.171,6.2,6.235
3195,musical,5.742,6.5,5.323,4.138,4.625
5085,trace (copy),3.059,4.853,5.235,4.861,4.677
2543,innate,4.364,5.0,4.719,3.323,2.323
3045,melt,4.647,4.879,4.324,4.412,5.152
964,coaster,3.242,5.273,4.594,5.636,5.735
1330,declare,5.375,5.829,6.294,3.294,2.849
157,anchor,3.629,5.171,5.143,6.471,6.618
65,adequate,3.778,5.333,4.765,2.5,2.912
3026,mean (stingy),4.061,2.094,3.818,2.97,3.75
245,ascent,5.343,5.686,5.818,4.029,4.257
3470,parish,3.323,4.467,3.9,4.75,4.581
367,barrage,4.138,3.677,4.519,4.533,4.037
4323,sentimental,5.588,6.706,4.588,2.394,2.794
5193,twilight,5.576,6.152,5.121,4.455,5.281
1448,disclose,4.219,4.5,4.871,2.5,2.438
3139,mood,4.906,5.313,4.882,2.6,2.765
1095,convener,3.3,5.286,5.32,4.76,3.852
2087,garlic,4.563,5.625,5.517,6.71,6.571
2138,glad,5.813,7.939,5.656,2.906,3.75
3247,nephew,3.235,6.353,5.529,5.941,4.941
2653,judge (evaluate),5.088,4.559,6.486,2.971,3.143
5206,ulcer,3.657,2.912,3.857,6.171,5.657
553,boulder,3.152,4.771,5.419,6.265,6.613
1699,enthral,6.63,6.071,5.852,2.63,3.148
3562,performer,6.353,6.853,5.765,5.677,5.657
3793,pride,5.857,5.943,6.794,2.8,3.412
3659,plantation,3.767,4.633,4.367,6.032,5.226
1456,discrete,4.125,5.147,5.121,3.219,3.121
1200,cricket,3.0,5.059,4.618,5.719,6.182
3654,plank,3.194,4.75,4.833,5.97,6.219
3614,pier,4.552,5.438,5.267,6.355,6.387
4608,split,3.879,4.091,4.086,4.118,4.686
151,amputate,4.714,2.294,3.743,5.177,5.629
1055,confetti,5.75,6.938,5.656,6.452,6.467
2554,inspect,4.171,5.343,6.088,3.314,3.829
1569,drown,4.647,1.853,2.735,4.735,4.912
1520,dough,4.121,5.588,5.382,6.118,5.941
447,billion,6.265,6.353,5.529,4.088,3.0
4904,tango (dance),6.5,6.559,6.515,5.343,6.121
4151,roll (bread),3.657,5.886,5.226,6.294,6.636
1020,compete,5.6,6.061,6.212,3.059,4.0
4361,shampoo,3.548,5.793,5.469,6.667,6.241
3112,mission,5.771,5.8,6.5,3.971,4.152
2951,maids,4.333,4.938,4.455,5.936,6.156
4557,sore,5.212,2.849,3.546,3.576,3.879
1598,dustpan,2.281,4.5,4.75,6.294,6.219
1097,convention,3.364,4.667,3.871,3.788,3.781
4387,ship (boat),3.97,5.6,4.912,6.618,6.735
5130,treble (triple),4.152,5.406,5.546,3.943,3.571
3558,percent,3.265,5.182,5.057,4.086,3.914
5047,tone,4.743,5.343,5.743,3.8,2.455
4316,sensible,4.032,6.906,6.032,2.484,2.875
4641,squirrel,4.2,5.971,5.114,6.559,6.677
4020,refresh,5.429,7.0,5.618,2.743,3.371
555,bouncy,6.314,6.471,5.657,4.059,4.912
3455,panic,5.688,2.273,2.571,3.871,3.743
410,beef,4.849,5.118,5.765,6.471,6.531
1315,deal (with),4.152,5.029,5.909,3.059,2.794
3625,pine,3.242,5.147,5.088,5.706,5.353
4457,skirt (clothes),5.371,5.765,5.486,6.529,6.543
1905,finish,6.086,6.657,6.571,4.2,4.314
471,blasphemy,5.152,2.758,4.719,2.546,2.727
2213,graphic,4.829,4.771,5.543,3.912,4.086
3759,pound (dogs),4.03,4.219,4.029,6.177,5.606
3360,onion,3.31,5.242,5.31,6.786,6.636
5218,unify,5.688,7.5,6.25,2.548,2.875
4554,sonnet,4.516,6.061,5.0,4.656,3.939
881,cigar,5.031,4.032,5.807,6.621,6.621
3065,mice,3.688,4.375,5.387,6.719,6.818
425,belfry,3.867,5.111,4.889,5.438,4.177
4890,tablespoon,2.636,5.485,5.303,6.546,6.758
2042,fuck,7.188,3.219,6.167,3.303,3.406
932,cloth,3.647,5.469,5.091,6.406,6.5
1344,define,3.688,5.152,5.7,3.063,2.406
4587,speed,7.125,5.485,6.933,3.469,4.75
3524,pebble,3.219,5.455,5.091,6.606,6.485
251,ass (donkey),3.912,4.743,5.559,6.813,6.743
3864,public,5.273,5.529,4.818,4.971,5.382
1319,debt,3.343,1.971,2.657,4.343,4.2
734,captivating,7.484,7.813,6.419,2.258,3.031
1973,foot (length),3.486,4.939,4.914,5.588,4.8
5508,worth,5.647,6.788,5.548,2.375,2.813
227,army,5.712,3.91,4.424,6.103,6.266
1658,embarrass,4.559,2.353,2.758,2.706,3.853
3932,quitter,3.177,2.486,4.088,3.265,3.286
4326,series,4.118,5.441,4.657,4.029,3.382
5522,write,4.029,6.086,6.314,5.059,5.0
3089,mingle,5.6,6.629,5.771,3.829,4.257
4317,sensitive,5.206,5.677,3.455,2.576,3.188
4509,smooth,5.485,6.939,5.4,3.97,5.758
3656,plant (factory),3.242,4.286,4.618,6.281,6.143
2723,laced,5.457,5.118,5.2,4.235,5.029
1046,concoction,5.719,5.344,5.529,4.484,4.188
3680,plot (graph),3.059,5.294,5.656,5.0,5.706
4031,regulation,3.313,4.424,3.303,2.97,2.667
3979,rat (animal),4.563,4.03,4.807,6.677,6.813
3326,oblivious,4.188,3.879,3.387,2.9,2.936
3878,pumps,3.429,4.971,4.971,5.7,5.469
292,author,4.735,6.0,5.546,5.576,4.714
1942,flood,5.457,2.829,4.559,6.029,6.286
3820,profound,5.333,6.371,5.735,2.121,2.265
2642,joint,5.0,5.355,5.0,5.469,5.452
2364,herd,3.97,4.97,3.849,5.0,5.344
2580,interest,5.886,7.029,6.343,2.743,3.143
